Time,Volt
1.98E-04,3.36E-02
2.00E-04,3.36E-02
2.02E-04,3.44E-02
2.04E-04,3.44E-02
2.06E-04,3.28E-02
2.08E-04,3.44E-02
2.10E-04,3.28E-02
2.12E-04,3.36E-02
2.14E-04,3.44E-02
2.16E-04,3.36E-02
2.18E-04,3.52E-02
2.20E-04,3.36E-02
2.22E-04,3.44E-02
2.24E-04,3.36E-02
2.26E-04,3.44E-02
2.28E-04,3.44E-02
2.30E-04,3.28E-02
2.32E-04,3.44E-02
2.34E-04,3.28E-02
2.36E-04,3.44E-02
2.38E-04,3.36E-02
2.40E-04,3.44E-02
2.42E-04,3.36E-02
2.44E-04,3.36E-02
2.46E-04,3.44E-02
2.48E-04,3.36E-02
2.50E-04,3.44E-02
2.52E-04,3.44E-02
2.54E-04,3.28E-02
2.56E-04,3.44E-02
2.58E-04,3.28E-02
2.60E-04,3.44E-02
2.62E-04,3.36E-02
2.64E-04,3.44E-02
2.66E-04,3.52E-02
2.68E-04,3.44E-02
2.70E-04,3.60E-02
2.72E-04,3.60E-02
2.74E-04,3.44E-02
2.76E-04,3.52E-02
2.78E-04,3.36E-02
2.80E-04,3.44E-02
2.82E-04,3.36E-02
2.84E-04,3.36E-02
2.86E-04,3.28E-02
2.88E-04,3.28E-02
2.90E-04,3.36E-02
2.92E-04,3.28E-02
2.94E-04,3.44E-02
2.96E-04,3.28E-02
2.98E-04,3.52E-02
3.00E-04,3.36E-02
3.02E-04,3.44E-02
3.04E-04,3.52E-02
3.06E-04,3.36E-02
3.08E-04,3.36E-02
3.10E-04,3.52E-02
3.12E-04,3.44E-02
3.14E-04,3.36E-02
3.16E-04,3.36E-02
3.18E-04,3.44E-02
3.20E-04,3.36E-02
3.22E-04,3.44E-02
3.24E-04,3.44E-02
3.26E-04,3.44E-02
3.28E-04,3.44E-02
3.30E-04,3.52E-02
3.32E-04,3.52E-02
3.34E-04,3.28E-02
3.36E-04,3.52E-02
3.38E-04,3.28E-02
3.40E-04,3.44E-02
3.42E-04,3.28E-02
3.44E-04,3.44E-02
3.46E-04,3.28E-02
3.48E-04,3.28E-02
3.50E-04,3.44E-02
3.52E-04,3.44E-02
3.54E-04,3.36E-02
3.56E-04,3.36E-02
3.58E-04,3.52E-02
3.60E-04,3.44E-02
3.62E-04,3.28E-02
3.64E-04,3.44E-02
3.66E-04,3.28E-02
3.68E-04,3.28E-02
3.70E-04,3.44E-02
3.72E-04,3.36E-02
3.74E-04,3.20E-02
3.76E-04,3.36E-02
3.78E-04,3.28E-02
3.80E-04,3.36E-02
3.82E-04,3.44E-02
3.84E-04,3.36E-02
3.86E-04,3.44E-02
3.88E-04,3.44E-02
3.90E-04,3.36E-02
3.92E-04,3.52E-02
3.94E-04,3.36E-02
3.96E-04,3.44E-02
3.98E-04,3.36E-02
4.00E-04,3.44E-02
4.02E-04,3.28E-02
4.04E-04,3.44E-02
4.06E-04,3.28E-02
4.08E-04,3.44E-02
4.10E-04,3.28E-02
4.12E-04,3.44E-02
4.14E-04,3.36E-02
4.16E-04,3.36E-02
4.18E-04,3.44E-02
4.20E-04,3.36E-02
4.22E-04,3.44E-02
4.24E-04,3.28E-02
4.26E-04,3.44E-02
4.28E-04,3.28E-02
4.30E-04,3.52E-02
4.32E-04,3.36E-02
4.34E-04,3.44E-02
4.36E-04,3.36E-02
4.38E-04,3.44E-02
4.40E-04,3.36E-02
4.42E-04,3.44E-02
4.44E-04,3.36E-02
4.46E-04,3.44E-02
4.48E-04,3.44E-02
4.50E-04,3.36E-02
4.52E-04,3.44E-02
4.54E-04,3.36E-02
4.56E-04,3.44E-02
4.58E-04,3.36E-02
4.60E-04,3.44E-02
4.62E-04,3.28E-02
4.64E-04,3.44E-02
4.66E-04,3.28E-02
4.68E-04,3.36E-02
4.70E-04,3.44E-02
4.72E-04,3.44E-02
4.74E-04,3.44E-02
4.76E-04,3.44E-02
4.78E-04,3.44E-02
4.80E-04,3.44E-02
